"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3 
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,"If quokkas are NOT furious, then ponies are NOT transient.

What is the contrapositive?","If ponies are transient, then quokkas are furious.","If ponies are NOT transient, then quokkas are NOT furious.","If quokkas are furious, then ponies are NOT transient.","If quokkas are furious, then ponies are transient.",30,1
2,"If whales are NOT sly, then giraffes are killers.

What is the converse?","If giraffes are NOT killers, then whales are sly.","If giraffes are killers, then whales are NOT sly.","If whales are NOT sly, then giraffes are NOT killers.","If whales are sly, then giraffes are NOT killers.",30,2
3,"If elephants are nice, then narwhals are NOT zombies.

What is the contrapositive?","If elephants are NOT nice, then narwhals are zombies.","If narwhals are zombies, then elephants are nice.","If narwhals are NOT zombies, then elephants are nice.","If narwhals are zombies, then elephants are NOT nice.",30,4
4,"If giraffes are lame, then kangaroos are yellow.

What is the converse?","If giraffes are NOT lame, then kangaroos are yellow.","If giraffes are NOT lame, then kangaroos are NOT yellow.","If kangaroos are NOT yellow, then giraffes are NOT lame.","If kangaroos are yellow, then giraffes are lame.",30,4
5,"If giraffes are dangerous, then cats are NOT umpires.

What is the contrapositive?","If giraffes are NOT dangerous, then cats are umpires.","If cats are NOT umpires, then giraffes are dangerous.","If cats are umpires, then giraffes are NOT dangerous.","If giraffes are dangerous, then cats are umpires.",30,3
6,"If bugs are NOT red, then cats are NOT nice.

What is the inverse?","If bugs are red, then cats are nice.","If cats are nice, then bugs are red.","If cats are NOT nice, then bugs are red.","If cats are NOT nice, then bugs are NOT red.",30,1
7,"If jaguars are NOT weak, then narwhals are NOT yellow.

What is the converse?","If narwhals are yellow, then jaguars are weak.","If narwhals are NOT yellow, then jaguars are NOT weak.","If jaguars are weak, then narwhals are yellow.","If narwhals are NOT yellow, then jaguars are weak.",30,2
8,"If xylophones are weak, then bugs are outgoing.

What is the converse?","If bugs are outgoing, then xylophones are weak.","If bugs are NOT outgoing, then xylophones are weak.","If bugs are NOT outgoing, then xylophones are NOT weak.","If xylophones are NOT weak, then bugs are NOT outgoing.",30,1
9,"If ponies are dangerous, then kangaroos are NOT enigmatic.

What is the contrapositive?","If ponies are NOT dangerous, then kangaroos are enigmatic.","If ponies are dangerous, then kangaroos are enigmatic.","If kangaroos are enigmatic, then ponies are NOT dangerous.","If kangaroos are NOT enigmatic, then ponies are dangerous.",30,3
10,"If giraffes are NOT curious, then llamas are killers.

What is the converse?","If llamas are killers, then giraffes are NOT curious.","If giraffes are curious, then llamas are NOT killers.","If llamas are killers, then giraffes are curious.","If llamas are NOT killers, then giraffes are curious.",30,1
11,"If xylophones are enigmatic, then owls are NOT menacing.

What is the contrapositive?","If owls are NOT menacing, then xylophones are enigmatic.","If xylophones are enigmatic, then owls are menacing.","If xylophones are NOT enigmatic, then owls are menacing.","If owls are menacing, then xylophones are NOT enigmatic.",30,4
12,"If tulips are indigo, then snakes are NOT jealous.

What is the inverse?","If snakes are jealous, then tulips are NOT indigo.","If snakes are jealous, then tulips are indigo.","If tulips are NOT indigo, then snakes are jealous.","If snakes are NOT jealous, then tulips are indigo.",30,3
13,"If snakes are menacing, then flowers are red.

What is the inverse?","If snakes are NOT menacing, then flowers are NOT red.","If flowers are NOT red, then snakes are NOT menacing.","If flowers are NOT red, then snakes are menacing.","If flowers are red, then snakes are menacing.",30,1
14,"If snakes are enigmatic, then jaguars are NOT sly.

What is the contrapositive?","If snakes are NOT enigmatic, then jaguars are NOT sly.","If snakes are NOT enigmatic, then jaguars are sly.","If jaguars are sly, then snakes are NOT enigmatic.","If jaguars are NOT sly, then snakes are enigmatic.",30,3
15,"If giraffes are NOT transient, then bugs are NOT violent.

What is the contrapositive?","If bugs are NOT violent, then giraffes are NOT transient.","If bugs are violent, then giraffes are transient.","If giraffes are transient, then bugs are NOT violent.","If giraffes are transient, then bugs are violent.",30,2
16,"If narwhals are transient, then zebras are indigo.

What is the converse?","If zebras are indigo, then narwhals are transient.","If zebras are NOT indigo, then narwhals are transient.","If narwhals are NOT transient, then zebras are NOT indigo.","If zebras are NOT indigo, then narwhals are NOT transient.",30,1
17,"If owls are NOT awesome, then snakes are NOT killers.

What is the inverse?","If owls are awesome, then snakes are killers.","If owls are awesome, then snakes are NOT killers.","If snakes are NOT killers, then owls are NOT awesome.","If snakes are killers, then owls are awesome.",30,1
18,"If umbrellas are NOT nice, then zebras are curious.

What is the contrapositive?","If umbrellas are nice, then zebras are curious.","If zebras are curious, then umbrellas are NOT nice.","If zebras are NOT curious, then umbrellas are nice.","If umbrellas are nice, then zebras are NOT curious.",30,3
19,"If owls are NOT blue, then jaguars are NOT dangerous.

What is the converse?","If owls are blue, then jaguars are dangerous.","If jaguars are NOT dangerous, then owls are NOT blue.","If jaguars are dangerous, then owls are NOT blue.","If jaguars are dangerous, then owls are blue.",30,2
