"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3 
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,'Negate the statement: Some umbrellas are not pious.',No umbrellas are pious.,Some umbrellas are not pious.,Some umbrellas are pious.,All umbrellas are pious.,30,4
2,'Negate the statement: Some llamas are transient.',Some llamas are not transient.,Some llamas are transient.,No llamas are transient.,All llamas are transient.,30,3
3,'Negate the statement: Some bugs are furious.',Some bugs are not furious.,No bugs are furious.,Some bugs are furious.,All bugs are furious.,30,2
4,'Negate the statement: Some xylophones are xenophobic.',Some xylophones are xenophobic.,Some xylophones are not xenophobic.,All xylophones are xenophobic.,No xylophones are xenophobic.,30,4
5,'Negate the statement: Some kangaroos are nice.',No kangaroos are nice.,Some kangaroos are nice.,Some kangaroos are not nice.,All kangaroos are nice.,30,1
6,'Negate the statement: Some jaguars are curious.',All jaguars are curious.,Some jaguars are curious.,Some jaguars are not curious.,No jaguars are curious.,30,4
7,'Negate the statement: Some violins are not queens.',Some violins are not queens.,Some violins are queens.,No violins are queens.,All violins are queens.,30,4
8,'Negate the statement: Some tulips are enigmatic.',No tulips are enigmatic.,All tulips are enigmatic.,Some tulips are enigmatic.,Some tulips are not enigmatic.,30,1
9,'Negate the statement: Some hawks are not yellow.',All hawks are yellow.,Some hawks are yellow.,Some hawks are not yellow.,No hawks are yellow.,30,1
10,'Negate the statement: All ponies are killers.',All ponies are killers.,Some ponies are killers.,Some ponies are not killers.,No ponies are killers.,30,3
11,'Negate the statement: No llamas are xenophobic.',Some llamas are xenophobic.,All llamas are xenophobic.,No llamas are xenophobic.,Some llamas are not xenophobic.,30,1
12,'Negate the statement: All dogs are killers.',No dogs are killers.,All dogs are killers.,Some dogs are killers.,Some dogs are not killers.,30,4
13,'Negate the statement: Some zebras are happy.',No zebras are happy.,All zebras are happy.,Some zebras are happy.,Some zebras are not happy.,30,1
14,'Negate the statement: No zebras are nice.',Some zebras are nice.,No zebras are nice.,Some zebras are not nice.,All zebras are nice.,30,1
15,'Negate the statement: Some whales are not killers.',All whales are killers.,Some whales are killers.,Some whales are not killers.,No whales are killers.,30,1
16,'Negate the statement: Some jaguars are not green.',No jaguars are green.,All jaguars are green.,Some jaguars are not green.,Some jaguars are green.,30,2
17,'Negate the statement: No whales are green.',Some whales are green.,No whales are green.,All whales are green.,Some whales are not green.,30,1
18,'Negate the statement: All narwhals are umpires.',No narwhals are umpires.,Some narwhals are umpires.,All narwhals are umpires.,Some narwhals are not umpires.,30,4
19,'Negate the statement: No mice are umpires.',Some mice are umpires.,All mice are umpires.,Some mice are not umpires.,No mice are umpires.,30,1
20,'Negate the statement: Some owls are not yellow.',All owls are yellow.,Some owls are yellow.,No owls are yellow.,Some owls are not yellow.,30,1
21,'Negate the statement: All mice are dangerous.',Some mice are dangerous.,No mice are dangerous.,Some mice are not dangerous.,All mice are dangerous.,30,3
22,'Negate the statement: All quokkas are blue.',All quokkas are blue.,No quokkas are blue.,Some quokkas are not blue.,Some quokkas are blue.,30,3
23,'Negate the statement: No snakes are furious.',Some snakes are furious.,Some snakes are not furious.,All snakes are furious.,No snakes are furious.,30,1
24,'Negate the statement: All snakes are outgoing.',All snakes are outgoing.,Some snakes are outgoing.,Some snakes are not outgoing.,No snakes are outgoing.,30,3
25,'Negate the statement: Some owls are transient.',Some owls are not transient.,No owls are transient.,All owls are transient.,Some owls are transient.,30,2
26,'Negate the statement: Some insects are not umpires.',Some insects are umpires.,No insects are umpires.,All insects are umpires.,Some insects are not umpires.,30,3
27,'Negate the statement: Some kangaroos are violent.',Some kangaroos are violent.,No kangaroos are violent.,All kangaroos are violent.,Some kangaroos are not violent.,30,2
28,'Negate the statement: No dogs are green.',Some dogs are not green.,No dogs are green.,Some dogs are green.,All dogs are green.,30,3
29,'Negate the statement: No mice are yellow.',Some mice are not yellow.,Some mice are yellow.,All mice are yellow.,No mice are yellow.,30,2
30,'Negate the statement: All violins are curious.',Some violins are curious.,All violins are curious.,No violins are curious.,Some violins are not curious.,30,4
31,'Negate the statement: Some tulips are not yellow.',All tulips are yellow.,No tulips are yellow.,Some tulips are yellow.,Some tulips are not yellow.,30,1
32,'Negate the statement: Some whales are not zombies.',No whales are zombies.,Some whales are not zombies.,All whales are zombies.,Some whales are zombies.,30,3
33,'Negate the statement: No tulips are sly.',Some tulips are sly.,Some tulips are not sly.,No tulips are sly.,All tulips are sly.,30,1
34,'Negate the statement: Some kangaroos are not queens.',No kangaroos are queens.,Some kangaroos are queens.,All kangaroos are queens.,Some kangaroos are not queens.,30,3
35,'Negate the statement: All insects are jealous.',No insects are jealous.,Some insects are not jealous.,All insects are jealous.,Some insects are jealous.,30,2
36,'Negate the statement: Some narwhals are sly.',All narwhals are sly.,Some narwhals are sly.,No narwhals are sly.,Some narwhals are not sly.,30,3
37,'Negate the statement: Some narwhals are not indigo.',No narwhals are indigo.,All narwhals are indigo.,Some narwhals are not indigo.,Some narwhals are indigo.,30,2
38,'Negate the statement: All quokkas are awesome.',No quokkas are awesome.,Some quokkas are awesome.,All quokkas are awesome.,Some quokkas are not awesome.,30,4
39,'Negate the statement: All insects are happy.',No insects are happy.,All insects are happy.,Some insects are happy.,Some insects are not happy.,30,4
40,'Negate the statement: All apples are lame.',Some apples are lame.,All apples are lame.,Some apples are not lame.,No apples are lame.,30,3
41,'Negate the statement: Some zebras are pious.',All zebras are pious.,No zebras are pious.,Some zebras are not pious.,Some zebras are pious.,30,2
42,'Negate the statement: Some elephants are not lame.',Some elephants are not lame.,No elephants are lame.,Some elephants are lame.,All elephants are lame.,30,4
43,'Negate the statement: No tulips are transient.',Some tulips are transient.,Some tulips are not transient.,All tulips are transient.,No tulips are transient.,30,1
44,'Negate the statement: No tulips are xenophobic.',Some tulips are not xenophobic.,Some tulips are xenophobic.,All tulips are xenophobic.,No tulips are xenophobic.,30,2
45,'Negate the statement: Some insects are menacing.',Some insects are menacing.,All insects are menacing.,No insects are menacing.,Some insects are not menacing.,30,3
46,'Negate the statement: All xylophones are awesome.',No xylophones are awesome.,All xylophones are awesome.,Some xylophones are not awesome.,Some xylophones are awesome.,30,3
47,'Negate the statement: All bugs are nice.',All bugs are nice.,Some bugs are not nice.,No bugs are nice.,Some bugs are nice.,30,2
48,'Negate the statement: No zebras are queens.',Some zebras are queens.,No zebras are queens.,Some zebras are not queens.,All zebras are queens.,30,1
49,'Negate the statement: Some narwhals are awesome.',Some narwhals are not awesome.,Some narwhals are awesome.,All narwhals are awesome.,No narwhals are awesome.,30,4
50,'Negate the statement: Some bugs are not awesome.',All bugs are awesome.,Some bugs are not awesome.,Some bugs are awesome.,No bugs are awesome.,30,1
51,'Negate the statement: No jaguars are transient.',No jaguars are transient.,Some jaguars are not transient.,Some jaguars are transient.,All jaguars are transient.,30,3
52,'Negate the statement: No bugs are jealous.',Some bugs are jealous.,No bugs are jealous.,Some bugs are not jealous.,All bugs are jealous.,30,1
53,'Negate the statement: All insects are furious.',All insects are furious.,No insects are furious.,Some insects are furious.,Some insects are not furious.,30,4
54,'Negate the statement: Some elephants are curious.',All elephants are curious.,No elephants are curious.,Some elephants are not curious.,Some elephants are curious.,30,2
55,'Negate the statement: All owls are yellow.',No owls are yellow.,Some owls are not yellow.,Some owls are yellow.,All owls are yellow.,30,2
56,'Negate the statement: No tulips are indigo.',All tulips are indigo.,Some tulips are not indigo.,No tulips are indigo.,Some tulips are indigo.,30,4
57,'Negate the statement: Some hawks are xenophobic.',Some hawks are xenophobic.,All hawks are xenophobic.,Some hawks are not xenophobic.,No hawks are xenophobic.,30,4
58,'Negate the statement: Some dogs are not nice.',Some dogs are not nice.,Some dogs are nice.,All dogs are nice.,No dogs are nice.,30,3
59,'Negate the statement: Some umbrellas are menacing.',No umbrellas are menacing.,Some umbrellas are not menacing.,All umbrellas are menacing.,Some umbrellas are menacing.,30,1
60,'Negate the statement: Some cats are sly.',Some cats are not sly.,No cats are sly.,Some cats are sly.,All cats are sly.,30,2
61,'Negate the statement: No snakes are curious.',All snakes are curious.,No snakes are curious.,Some snakes are curious.,Some snakes are not curious.,30,3
62,'Negate the statement: Some snakes are enigmatic.',Some snakes are enigmatic.,All snakes are enigmatic.,Some snakes are not enigmatic.,No snakes are enigmatic.,30,4
63,'Negate the statement: Some giraffes are awesome.',Some giraffes are awesome.,All giraffes are awesome.,Some giraffes are not awesome.,No giraffes are awesome.,30,4
64,'Negate the statement: All quokkas are red.',Some quokkas are red.,Some quokkas are not red.,All quokkas are red.,No quokkas are red.,30,2
65,'Negate the statement: Some jaguars are queens.',All jaguars are queens.,No jaguars are queens.,Some jaguars are not queens.,Some jaguars are queens.,30,2
66,'Negate the statement: Some jaguars are pious.',Some jaguars are pious.,No jaguars are pious.,All jaguars are pious.,Some jaguars are not pious.,30,2
67,'Negate the statement: Some llamas are zombies.',No llamas are zombies.,All llamas are zombies.,Some llamas are not zombies.,Some llamas are zombies.,30,1
