"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3 
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,'Negate the statement: No violins are indigo.',Some violins are not indigo.,No violins are indigo.,Some violins are indigo.,All violins are indigo.,30,3
2,'Negate the statement: Some quokkas are jealous.',Some quokkas are jealous.,Some quokkas are not jealous.,All quokkas are jealous.,No quokkas are jealous.,30,4
3,'Negate the statement: All zebras are awesome.',Some zebras are awesome.,No zebras are awesome.,All zebras are awesome.,Some zebras are not awesome.,30,4
4,'Negate the statement: Some cats are killers.',Some cats are killers.,Some cats are not killers.,No cats are killers.,All cats are killers.,30,3
5,'Negate the statement: No jaguars are enigmatic.',Some jaguars are not enigmatic.,No jaguars are enigmatic.,All jaguars are enigmatic.,Some jaguars are enigmatic.,30,4
6,'Negate the statement: Some violins are killers.',No violins are killers.,All violins are killers.,Some violins are killers.,Some violins are not killers.,30,1
7,'Negate the statement: Some dogs are yellow.',All dogs are yellow.,Some dogs are not yellow.,Some dogs are yellow.,No dogs are yellow.,30,4
8,'Negate the statement: No dogs are violent.',No dogs are violent.,Some dogs are not violent.,Some dogs are violent.,All dogs are violent.,30,3
9,'Negate the statement: Some xylophones are yellow.',Some xylophones are not yellow.,Some xylophones are yellow.,No xylophones are yellow.,All xylophones are yellow.,30,3
10,'Negate the statement: Some quokkas are killers.',No quokkas are killers.,Some quokkas are not killers.,All quokkas are killers.,Some quokkas are killers.,30,1
11,'Negate the statement: Some flowers are zombies.',No flowers are zombies.,All flowers are zombies.,Some flowers are not zombies.,Some flowers are zombies.,30,1
12,'Negate the statement: Some ponies are not indigo.',Some ponies are not indigo.,No ponies are indigo.,Some ponies are indigo.,All ponies are indigo.,30,4
13,'Negate the statement: No hawks are queens.',Some hawks are not queens.,All hawks are queens.,No hawks are queens.,Some hawks are queens.,30,4
14,'Negate the statement: No kangaroos are happy.',All kangaroos are happy.,Some kangaroos are happy.,Some kangaroos are not happy.,No kangaroos are happy.,30,2
15,'Negate the statement: Some owls are not happy.',All owls are happy.,Some owls are happy.,Some owls are not happy.,No owls are happy.,30,1
16,'Negate the statement: Some tulips are not sly.',Some tulips are not sly.,All tulips are sly.,Some tulips are sly.,No tulips are sly.,30,2
17,'Negate the statement: All narwhals are blue.',All narwhals are blue.,No narwhals are blue.,Some narwhals are not blue.,Some narwhals are blue.,30,3
18,'Negate the statement: Some llamas are not red.',Some llamas are not red.,All llamas are red.,Some llamas are red.,No llamas are red.,30,2
19,'Negate the statement: Some flowers are violent.',Some flowers are violent.,All flowers are violent.,No flowers are violent.,Some flowers are not violent.,30,3
20,'Negate the statement: All whales are blue.',Some whales are blue.,All whales are blue.,Some whales are not blue.,No whales are blue.,30,3
21,'Negate the statement: No whales are sly.',All whales are sly.,No whales are sly.,Some whales are not sly.,Some whales are sly.,30,4
22,'Negate the statement: No xylophones are indigo.',Some xylophones are indigo.,All xylophones are indigo.,Some xylophones are not indigo.,No xylophones are indigo.,30,1
23,'Negate the statement: All llamas are sly.',No llamas are sly.,Some llamas are sly.,Some llamas are not sly.,All llamas are sly.,30,3
24,'Negate the statement: No violins are indigo.',All violins are indigo.,Some violins are not indigo.,Some violins are indigo.,No violins are indigo.,30,3
25,'Negate the statement: Some zebras are sly.',No zebras are sly.,All zebras are sly.,Some zebras are not sly.,Some zebras are sly.,30,1
26,'Negate the statement: No jaguars are curious.',All jaguars are curious.,No jaguars are curious.,Some jaguars are curious.,Some jaguars are not curious.,30,3
27,'Negate the statement: Some llamas are not outgoing.',Some llamas are not outgoing.,All llamas are outgoing.,No llamas are outgoing.,Some llamas are outgoing.,30,2
28,'Negate the statement: All hawks are indigo.',All hawks are indigo.,Some hawks are not indigo.,Some hawks are indigo.,No hawks are indigo.,30,2
